Timestamp,What year are you in,What is your age,What class are you in,What is your gender,How many languages do you speak? (digit entry),"What is the highest degree you plan to pursue?
","What is your major
",Are you a transfer student,Are you a first generation student,What is your current cumulative GPA?,How motivated are you to attend the lecture if it is 50 min long (3 times a week)?  (1: not motivated; 5 very motivated),How motivated are you to attend the lecture if it is 1h 20 min long (2 times a week)? (1: not motivated; 5 very motivated),How motivated are you to go to class if class participation is part of the grade? (1: not motivated; 5 very motivated),How motivated are you to go to class if there are no class activities in lecture? (1: not motivated; 5 very motivated),Do you prefer studying and/or working in groups? ,"When you miss lecture, what are the reasons for it?",How often do you tutor or help fellow peers? (1:Never; 2:Rarely; 3:Sometimes; 4:Often; 5:Almost every day),How many hours a day (on average) did you spend studying last week? (hours),"Which of the following student resources have you used this quarter?
","If you utilize the above student resources, how often do you use/attend such resources a week?","IN CS010C, how much did you enjoy doing labs? (scale of 1-5)","IN CS105, how much did you enjoy doing labs? (scale of 1-5)",Do you think that you would learn better if labs were due every other week rather than weekly?,Do labs help you prepare for exams?,Do lecture materials help you complete lab assignments?,How many hours a week do you spend working on material for CS111?,What is the level of anxiety you feel for the upcoming CS111 midterm?,How many hours a week do you spend working on material for CS105?,What is the level of anxiety you feel for the upcoming CS105 midterm?,7. Do you want weekly programming assignments for CS111 (similar to CS 010C or equivalent data structures classes)?,How many UCR affiliated student organizations are you involved with?,"Of the student organizations you are involved with, in how many of those clubs are you a board member?","Outside of time spent studying and in class, how many hours do you spend on campus a week?","How many on campus events did you attend (hosted by RHA, ASPB or ASUCR) since September 22nd?",Have you ever participated and/or been a part of a team that organizes a hackathon?,"If you've attended a hackathon, what do you do in them?
","What is your living situation?
","On average how long does it take you to get to campus?
",How stressed are you with your classes? (1: not stressed; 5: extremely stressed),How many hours do you sleep per night? (numeric answer),Are you a morning person or a night person?,How long do you exercise a day?,How many times a week do you work out?,"Where do you work out?
",Why do you work out?,When do you work out?,How many high school student organizations were you involved with?,"Did you complete high school in the United States? (If not, specify country)","If you were involved with sports in high school, how long did you play for in your school?",How many AP classes did you take in high school? (Numeric value),Have you applied to or completed one or more internships as a UCR student?,How important is money in your career choice?,Do you want to be involved in STEM-based research?,"Do you take advantage of career services offered by the university (e.g. resume building, mock interviews, job fairs, career center)","On a scale of 1-10, how confident are you in finding a career in the future?",Have you ever had a job during college?,"If you have or had an internship part-time job, or full-time job during the 2022-23 academic school year, how many hours a week on average did you work? (numeric values only; enter NA if you did not work)",Why did you pick your major?,"Do you want to change majors? If so, why?
","If you could go back in time to change your major, would you?","If you're in CS/CE/Data Science/related, why did you pick this path?
",How many hours do you volunteer in a week? (numeric answer),How many hours do you hang out with friends in a week? (numeric answer),How often do you go to parties in a quarter?,How often do you go to parties in a quarter?,How related to your non-academic hobbies do you want your dream job to be? (1: completely unrelated; 3:somewhat related; 5: completely related),Are you concerned about the growing use of AI? (1: not concerned; 5: very concerned),Do you use AI tools for your coursework (ex: ChatGPT),How likely are you to use AI tools for your future profession? (1: not likely; 5: very likely),What is your favorite movie genre?,How familiar are you with the concept of AI and it's applications? ,How many siblings do you have? (digit entry),How many units are you taking? (digit entry)
5/8/2023 22:10:41,1,18,CS105,Female,2,B.S.,Data Science,No,No,3.6-4.0,3,5,5,3,Sometimes,too early in morning,2,6-8,"TA's office hours, ULA",once,2,3,No,Sometimes,Yes,N/A,N/A,2-4 hours,Somewhat anxious,N/A,1,0,10,7-9,Yes,Both,First Year UCR Residence Halls,0-10 minutes,4,7,Night person,< 30 minutes,2,School sport,avoid schoolwork,Evening,4,United States,Was not involved in HS sports,11 + 2 IB,No,8,Yes,Yes,6,No,NA,All of the above,Do not want to change majors,No,"You find topics in this field interesting, Jobs are in high demand, More potential for higher salaries, Stable future",0,16,Never,Never,1,4,No,5,Mystery,5,2,17
5/8/2023 22:11:13,5,23,CS111,Male,2,B.S.,Data Science,Yes,Yes,3.0-3.3,3,3,2,1,No,"Don't think it is useful to attend some lectures, Sick, Transportation issues, Feel like saving money when I only have one lecture, Have other things to do",1,4-6,"TA's office hours, Professor's office hours",I do not utilize the above resources,1,5,No,Sometimes,Yes,2-4 hours,Very anxious,2-4 hours,N/A,No,0,,0,None,No,Haven't attended a hackathon,Off-campus housing outside of Riverside,above 60 minutes,5,5,Night person,0 minutes,0,,n/a,,0,United States,4 years,12,No,9,Yes,No,6,Yes,8,Passion,Do not want to change majors,No,"You find topics in this field interesting, Jobs are in high demand, More potential for higher salaries, Stable future",0,4,Never,Never,2,1,Yes,5,Science Fiction,7,1,12
5/8/2023 22:11:22,3,21,CS111,Male,2,B.S.,Data Science,Yes,No,2.6-3.0,2,4,5,1,Sometimes,"Don't think it is useful to attend some lectures, Feel like saving money when I only have one lecture, Have other things to do",2,4-6,"TA's office hours, Professor's office hours",I do not utilize the above resources,4,N/A,Yes,Yes,Yes,10+ hours,Very anxious,N/A,N/A,No,0,0,0,None,No,Haven't attended a hackathon,Continuing Student UCR apartment,10-20 minutes,4,7,Night person,2 hours,3,Gym,it feels good,Afternoon,5,United States,Was not involved in HS sports,2,Yes,10,Yes,Yes,6,Yes,35,Money,to be cs student,Yes,"Jobs are in high demand, More potential for higher salaries, Stable future",0,80,Never,Never,3,1,Yes,5,Comedy,7,0,11
5/8/2023 22:12:00,2,20,CS111,Male,1,M.S.,Data Science,No,No,3.0-3.3,3,5,4,3,Sometimes,"Sick, Transportation issues, Have other things to do",3,10+,Professor's office hours,once,4,N/A,Yes,Yes,Sometimes,8-10 hours,Very anxious,N/A,N/A,Yes,1,0,3,1-3,Yes,Both,Continuing Student UCR apartment,10-20 minutes,5,7,Neither,1 hour,5,Gym,I have found that exercising greatly increases the quality of my sleep and attention span. Also because I am skinny AF and need to get bigger.,Evening,2,United States,3 years,3,Yes,8,Yes,Yes,6,Yes,NA,Passion,Do not want to change majors,No,"You find topics in this field interesting, Jobs are in high demand, More potential for higher salaries, Stable future",0,20,Rarely,Rarely,3,5,Yes,5,Action,6,1,18
5/8/2023 22:12:16,2,19,CS111,Male,2,B.S.,CS,No,No,3.3-3.6,4,5,5,4,Sometimes,"Sick, Feel like saving money when I only have one lecture",3,2-4,"TA's office hours, Professor's office hours",once,3,N/A,Yes,Sometimes,Yes,8-10 hours,Somewhat anxious,N/A,N/A,No,1,0,2,None,No,Attended workshops,Off-campus housing outside of Riverside,20-30 minutes,4,6,Night person,< 30 minutes,3,Outside,because I have to,Afternoon,2,United States,1 year,5,No,8,Yes,No,6,Yes,NA,Money,Do not want to change majors,No,"You find topics in this field interesting, Jobs are in high demand, More potential for higher salaries, Stable future",0,4,Rarely,Rarely,3,1,Yes,5,Comedy,3,1,13
5/8/2023 22:15:51,4,23,CS105,Female,2,M.S.,CS,Yes,No,3.6-4.0,4,1,5,2,Sometimes,Don't think it is useful to attend some lectures,2,10+,"TA's office hours, Professor's office hours",once,1,4,Yes,No,No,N/A,N/A,8-10 hours,Very anxious,No,0,0,20,None,Yes,Attended workshops,Continuing Student UCR apartment,10-20 minutes,5,7,Morning person,30 minutes,2,Gym,Keeps me entertained and energized.,Evening,2,United States,Was not involved in HS sports,0,Yes,10,Yes,Yes,9,Yes,19,Money,Do not want to change majors,No,Jobs are in high demand,0,5,Never,Never,3,4,Yes,5,Horror,6,2,16
5/8/2023 22:18:00,4,27,CS105,Male,2,B.S.,CS,Yes,Yes,2.6-3.0,4,5,4,2,Sometimes,"Don't think it is useful to attend some lectures, Transportation issues, Have other things to do",2,4-6,TA's office hours,once,N/A,N/A,Yes,No,Sometimes,N/A,N/A,4-8 hours,Very anxious,Yes,None,None,0,None,No,Haven't attended a hackathon,Off-campus housing outside of Riverside,above 60 minutes,3,7,Night person,< 30 minutes,0,,,,None,United States,Was not involved in HS sports,2,No,8,Yes,No,7,Yes,40,Money,Do not want to change majors,Yes,"You find topics in this field interesting, Jobs are in high demand, More potential for higher salaries, Stable future",0,16,Never,Never,3,1,No,3,Mystery,6,2,8
5/8/2023 22:18:57,2,32,CS111,Male,2,PhD,CS,No,Yes,3.6-4.0,4,3,4,3,No,"Sick, Have other things to do",3,2-4,TA's office hours,twice,4,N/A,No,Yes,Yes,4-8 hours,Somewhat anxious,N/A,N/A,No,None,N/A,4-6,None,No,Haven't attended a hackathon,Off-campus housing within Riverside,30-60 minutes,4,6,Night person,< 30 minutes,3,Home,To be healthy ,Morning,3,United States,Was not involved in HS sports,8,No,7,Yes,No,8,Yes,NA,Advice from family/friends,Do not want to change majors,No,"You find topics in this field interesting, More potential for higher salaries",0,0,Never,Never,3,2,No,3,Science Fiction,4,2,12
5/8/2023 22:19:59,2,20,CS111,Female,2,PhD,CE,No,Yes,3.0-3.3,4,5,5,5,Sometimes,"Sick, Transportation issues",4,10+,"TA's office hours, Professor's office hours, ULA, ARC",thrice,4,N/A,Yes,Yes,Yes,4-8 hours,Very anxious,N/A,N/A,Yes,1,1,7,None,Yes,Both,Off-campus housing outside of Riverside,10-20 minutes,5,5,Night person,1 hour,2,Gym,"To keep the blood pumping. If I wasn't so stressed and busy in school, I'd be focusing on being more consistent to build strength.",Afternoon,5,United States,2 years,5,No,10,Yes,Yes,7,Yes,25,Curiosity,Do not want to change majors,No,"You find topics in this field interesting, Stable future",0,5,Never,Never,3,4,No,5,Comedy,7,1,12
5/8/2023 22:20:45,2,20,Both,Female,2,M.S.,Data Science,No,No,3.6-4.0,4,2,5,2,Sometimes,"Don't think it is useful to attend some lectures, too lazy",2,0-2,TA's office hours,I do not utilize the above resources,1,1,Yes,Sometimes,Sometimes,2-4 hours,Very anxious,< 1 hour,Somewhat anxious,No,1,1,0,None,No,Haven't attended a hackathon,Off-campus housing within Riverside,10-20 minutes,4,8,Night person,30 minutes,3,Gym,,Afternoon,0,United States,Was not involved in HS sports,4,No,10,Yes,No,5,No,N/A,Money,Do not want to change majors,No,"You find topics in this field interesting, Jobs are in high demand, More potential for higher salaries, Stable future",0,5,Often (once or more a week),Often (weekly),2,3,Yes,4,Romance,5,1,12
5/8/2023 22:22:13,4,28,CS111,Male,3,B.S.,Data Science,Yes,No,3.0-3.3,4,3,5,3,Sometimes,"Sick, Family issues",4,10+,"TA's office hours, Professor's office hours",once,N/A,4,Yes,Sometimes,Yes,8-10 hours,N/A,N/A,N/A,No,0,0,5,None,No,Haven't attended a hackathon,Off-campus housing within Riverside,0-10 minutes,5,6,Night person,1 hour,4,Gym,"Gains, and health",Evening,2,United States,3 years,0,Yes,10,No,No,10,Yes,15,Advice from family/friends,To chase new dream career,Yes,"You find topics in this field interesting, Jobs are in high demand, More potential for higher salaries, Stable future",0,2,Never,Never,3,1,No,3,Thriller,8,1,12
5/8/2023 22:22:43,2,19,CS111,Male,1,B.S.,CS,No,Yes,3.6-4.0,4,4,5,4,Yes,"Family issues, Transportation issues, Have other things to do",2,2-4,,I do not utilize the above resources,3,N/A,No,Sometimes,Yes,4-8 hours,N/A,N/A,N/A,No,0,0,25,None,No,Haven't attended a hackathon,Off-campus housing outside of Riverside,30-60 minutes,4,5,Morning person,0 minutes,0,Home,I don't.,Morning,0,United States,Was not involved in HS sports,2,No,5,No,No,5,No,NA,Money,Do not want to change majors,Yes,"You find topics in this field interesting, Jobs are in high demand, More potential for higher salaries, Stable future",0,0,Never,Never,5,3,No,3,Comedy,3,3,12
5/8/2023 22:25:12,3,20,CS111,Male,2,PhD,CS,No,No,3.0-3.3,5,5,5,5,Sometimes,Sick,3,2-4,,I do not utilize the above resources,4,5,No,Yes,Yes,2-4 hours,Somewhat anxious,N/A,N/A,Yes,6,2,0,None,No,Made a project,Off-campus housing outside of Riverside,30-60 minutes,4,9,Neither,< 30 minutes,7,Home,To stay in shape and ground my mind,Evening,1,United States,Was not involved in HS sports,14,No,7,Yes,No,6,No,NA,Passion,Do not want to change majors,No,"You find topics in this field interesting, Jobs are in high demand, More potential for higher salaries, Stable future",0,2,Never,Never,3,3,No,2,Fantasy,9,2,16
5/8/2023 22:25:42,2,20,CS111,Male,2,B.S.,CS,No,Yes,3.0-3.3,3,3,4,3,Sometimes,"Don't think it is useful to attend some lectures, Sick",2,2-4,TA's office hours,twice,3,N/A,Yes,Sometimes,Sometimes,2-4 hours,N/A,N/A,N/A,No,0,0,5,4-6,No,Both,Continuing Student UCR apartment,10-20 minutes,3,6,Night person,< 30 minutes,1,Home,No reason,Evening,0,United States,3 years,4,No,5,Yes,No,4,No,NA,Passion,Do not want to change majors,No,You find topics in this field interesting,0,2,Rarely,Rarely,4,2,No,3,Horror,3,2,13
5/8/2023 22:25:43,2,20,Both,Male,1,B.S.,Data Science,No,No,3.0-3.3,2,4,4,2,No,"Don't think it is useful to attend some lectures, Have other things to do",1,0-2,,I do not utilize the above resources,1,4,Yes,Yes,Not sure,2-4 hours,N/A,1-2 hours,Not anxious,No,1,1,0,None,No,Haven't attended a hackathon,Off-campus housing within Riverside,10-20 minutes,5,8,Night person,2 hours,5,Gym,Health + fun,Evening,1,United States,Was not involved in HS sports,6,Yes,10,No,No,10,Yes,20,Passion,Do not want to change majors,No,You find topics in this field interesting,0,4,Somewhat (2-4 times a quarter),Somewhat (2-4 times a quarter),5,2,Yes,5,Fantasy,10,1,16
5/8/2023 22:26:45,2,19,CS111,Male,2,B.S.,CS,No,Yes,3.3-3.6,2,4,1,4,Yes,"Don't think it is useful to attend some lectures, Transportation issues, Feel like saving money when I only have one lecture, Have other things to do",4,4-6,Professor's office hours,once,5,N/A,Yes,Yes,Yes,2-4 hours,Very anxious,N/A,N/A,Yes,0,0,8,1-3,Yes,Made a project,Off-campus housing outside of Riverside,above 60 minutes,5,6,Night person,2 hours,5,Gym,The only thing I truly own is the body I can shape everyday,Afternoon,2,United States,4 years,8,No,10,Yes,Yes,3,Yes,16,Both Passion and Money,Do not want to change majors,No,"You find topics in this field interesting, Jobs are in high demand, More potential for higher salaries, Stable future",0,3,Rarely,Rarely,5,1,Yes,2,Science Fiction,5,1,12
5/8/2023 22:27:45,2,20,CS111,Male,2,B.S.,CS,No,Yes,3.0-3.3,4,3,3,3,Sometimes,Sick,2,2-4,TA's office hours,once,4,N/A,Yes,Sometimes,Sometimes,4-8 hours,Very anxious,N/A,N/A,No,1,0,2,None,No,Haven't attended a hackathon,Off-campus housing within Riverside,0-10 minutes,4,6,Neither,< 30 minutes,2,Home,To stay somewhat in shape.,Evening,3,United States,2 years,7,No,7,Yes,No,5,Yes,NA,Advice from family/friends,Do not want to change majors,No,Stable future,0,3,Never,Never,3,5,No,3,Comedy,3,1,17
5/8/2023 22:28:18,3,21,CS111,Male,1,M.S.,CS,No,No,3.3-3.6,4,3,3,3,Sometimes,Don't think it is useful to attend some lectures,2,2-4,TA's office hours,once,2,N/A,Yes,Sometimes,Yes,4-8 hours,Somewhat anxious,N/A,N/A,Yes,1,0,1-2,1-3,Yes,Made a project,Continuing Student UCR apartment,0-10 minutes,3,8,Night person,1 hour,4,Gym,Working out in the morning gives more energy and motivation throughout the rest of the day to be productive since I already did something productive first thing in the morning.,Morning,2,United States,3 years,5,No,7,Yes,No,6,No,NA,Pressure from family/friends,To chase new dream career,No,"You find topics in this field interesting, More potential for higher salaries",0,3,Never,Never,3,3,Yes,3,Adventure,7,2,21
5/8/2023 22:28:56,2,19,CS111,Male,1,B.S.,CS,No,No,3.0-3.3,3,3,5,1,Sometimes,Don't think it is useful to attend some lectures,3,2-4,TA's office hours,once,3,N/A,No,Sometimes,Sometimes,4-8 hours,Somewhat anxious,N/A,N/A,No,1,0,0,None,No,Haven't attended a hackathon,Off-campus housing within Riverside,10-20 minutes,3,8,Night person,30 minutes,2,Home,,Afternoon,2,United States,4 years,12,Yes,10,Yes,No,6,No,,Money,Do not want to change majors,No,,2,2,Rarely,Somewhat (2-4 times a quarter),3,3,No,3,Adventure,7,1,17
5/8/2023 22:31:34,2,20,CS111,Female,3,B.S.,CS,No,No,3.0-3.3,4,1,4,4,No,"Transportation issues, Have other things to do",1,4-6,TA's office hours,I do not utilize the above resources,2,N/A,Yes,No,Sometimes,4-8 hours,Very anxious,N/A,N/A,No,1,0,4,1-3,No,Haven't attended a hackathon,Off-campus housing within Riverside,20-30 minutes,5,7,Neither,1 hour,4,Gym,It’s my time to myself ,Evening,0,United States,2 years,2,No,10,Yes,No,4,Yes,12,Advice from family/friends,Do not want to change majors,No,Stable future,0,6,Somewhat (2-4 times a quarter),Somewhat (2-4 times a quarter),3,5,No,5,Comedy,5,4,13
5/8/2023 22:32:13,3,24,CS111,Nonbinary,1,B.S.,CS,Yes,No,3.3-3.6,2,4,3,3,Sometimes,"Transportation issues, Feel like saving money when I only have one lecture, Have other things to do",1,4-6,ARC,once,4,N/A,No,Yes,Sometimes,10+ hours,N/A,N/A,N/A,No,1,0,1,None,Yes,Made a project,Off-campus housing outside of Riverside,30-60 minutes,4,7,Night person,< 30 minutes,0,Home,,,2,United States,3 years,4,Yes,10,No,Yes,8,Yes,20,passion and money,Do not want to change majors,No,"You find topics in this field interesting, More potential for higher salaries, Stable future",0,16,Never,Never,3,1,No,1,Science Fiction,7,2,12
5/8/2023 22:41:37,3,20,CS105,Male,2,M.S.,Data Science,No,No,3.0-3.3,4,3,4,5,Sometimes,"Don't think it is useful to attend some lectures, Sick",3,6-8,Professor's office hours,twice,2,4,No,Yes,No,N/A,N/A,1-2 hours,Somewhat anxious,N/A,2,1,3,7-9,Yes,Attended workshops,Continuing Student UCR apartment,0-10 minutes,4,6,Night person,1 hour,3,Gym,to stay in shape ,Afternoon,2,United States,3 years,7,Yes,10,No,Yes,9,Yes,30,Advice from family/friends,Do not want to change majors,Yes,"You find topics in this field interesting, Jobs are in high demand, More potential for higher salaries, Stable future",3,5,Somewhat (2-4 times a quarter),Somewhat (2-4 times a quarter),4,3,Yes,4,Mystery,4,2,16
5/8/2023 22:42:57,1,19,CS111,Female,2,M.S.,CS,No,No,3.6-4.0,3,4,4,3,Yes,"Don't think it is useful to attend some lectures, Sick",3,2-4,Professor's office hours,once,3,N/A,Yes,Yes,Yes,2-4 hours,Not anxious,N/A,N/A,No,1,0,9,1-3,No,Both,First Year UCR Residence Halls,10-20 minutes,3,8,Both,< 30 minutes,1,Gym,To feel good ,Evening,1,United States,Was not involved in HS sports,8,Yes,7,Yes,Yes,8,No,NA,Passion,Do not want to change majors,No,"You find topics in this field interesting, Jobs are in high demand, More potential for higher salaries, Stable future",0,4,Never,Never,2,2,Yes,4,Horror,6,1,18
